observer,guess
o1,50
o2,60
o3,42
o4,33
o5,30
o6,32
o7,42
o8,40
o9,22
o10,38
o11,48
o12,35
o13,35
o14,38
o15,25
o16,34
o17,28
o18,25
o19,47
o20,28
o21,30
o22,35
o23,35
o24,30
o25,34
o26,37
o27,43
o28,26
o29,32
o30,NA
o31,NA
o32,NA
o33,NA
o34,NA
o35,NA
o36,NA
o37,NA
o38,NA
o39,NA
o40,NA
o41,NA
o42,NA
o43,NA
o44,NA
o45,NA
o46,NA
o47,NA
o48,NA
o49,NA
o50,NA
o51,NA
o52,NA
o53,NA
o54,NA
o55,NA
o56,NA
o57,NA
o58,NA
o59,NA
o60,NA
o61,NA
o62,NA
o63,NA
o64,NA
o65,NA
o66,NA
o67,NA
o68,NA
o69,NA
o70,NA
o71,NA
o72,NA
o73,NA
o74,NA
o75,NA
o76,NA
o77,NA
o78,NA
o79,NA
o80,NA
o81,NA
o82,NA
o83,NA
o84,NA
o85,NA
o86,NA
o87,NA
o88,NA
o89,NA
o90,NA
o91,NA
o92,NA
o93,NA
o94,NA
o95,NA
o96,NA
o97,NA
o98,NA
o99,NA
o100,NA
